technique_id,name,split_pattern,Claude,Grok,GPT,Gemini,Claude_Reasoning,Grok_Reasoning,GPT_Reasoning,Gemini_Reasoning,Manual_Decision,Manual_Reasoning,Status
T1105,Ingress Tool Transfer,PARTIAL vs YES,PARTIAL,PARTIAL,YES,YES,File transfer visible but payload often encrypted over HTTPS,Tool transfers visible but often encrypted,Downloads tools over network,File downloads visible via flow or protocol analysis,YES,"Core behavior is file transfer over network (HTTP/FTP/SMB). Produces observable flows, protocol signatures, and payload patterns when unencrypted.",VERIFIED
T1218.007,Msiexec,NO vs PARTIAL,NO,NO,PARTIAL,PARTIAL,Msiexec abuse is local process execution,Local execution proxy no network traffic,Msiexec may fetch packages over network,Detectable only if MSI is retrieved remotely,PARTIAL,Core behavior is local process execution (msiexec.exe). NIDS visibility only when MSI fetched remotely—conditional on implementation.,VERIFIED
T1218.005,Mshta,NO vs PARTIAL,NO,NO,PARTIAL,PARTIAL,Mshta abuse is local script execution,Local execution proxy no network traffic,Mshta may download remote scripts,Detectable if executing remote HTA file,PARTIAL,Core behavior is local script execution (mshta.exe). NIDS detects only when remote HTA files downloaded—implementation-dependent.,VERIFIED
T1027.003,Steganography,NO vs PARTIAL,PARTIAL,NO,NO,PARTIAL,Steganography in transferred files requires content analysis,Local steganography no network traffic,Uses steganography to hide data,Detectable if steganographic image transferred over network,PARTIAL,Core behavior is local encoding/decoding of hidden data. NIDS visibility only during file transfer containing steganographic content—conditional.,VERIFIED
T1218.003,CMSTP,NO vs PARTIAL,NO,NO,PARTIAL,PARTIAL,CMSTP abuse is local process execution,Local execution proxy no network traffic,CMSTP may fetch remote INF scripts,Detectable if loading remote INF/SCT file,PARTIAL,Core behavior is local execution via CMSTP. NIDS visibility limited to remote INF/SCT file downloads—implementation-dependent.,VERIFIED
T1220,XSL Script Processing,NO vs PARTIAL,NO,NO,PARTIAL,PARTIAL,XSL script processing is local file processing,Local script processing no network traffic,XSL processing may load remote scripts,Detectable if loading remote XSL file,PARTIAL,Core behavior is local XSL script processing. NIDS visibility only when remote XSL files loaded over network—conditional.,VERIFIED
T1018,Remote System Discovery,PARTIAL vs YES,PARTIAL,YES,YES,PARTIAL,Remote system discovery may generate scan traffic,Discovery probes generate network traffic,Scans remote systems on network,Active scanning visible; local cache lookup invisible,YES,"Core behavior generates scan traffic (ICMP echo, ARP, port scans, SNMP queries). Produces observable network flows and protocol patterns.",VERIFIED
T1189,Drive-by Compromise,PARTIAL vs YES,PARTIAL,YES,PARTIAL,YES,Drive-by downloads may show exploit kit patterns,Malicious web content delivery observable,Drive-by compromise via web; detection hindered by HTTPS,Exploit traffic visible in HTTP response,YES,"Core behavior delivers exploit via web traffic (HTTP response). Malformed content, exploit kit patterns, and suspicious redirects observable by NIDS.",VERIFIED
T1204.001,Malicious Link,PARTIAL vs YES,PARTIAL,YES,PARTIAL,YES,Malicious link click generates HTTP request to malicious URL,Link access generates observable traffic,Malicious links deliver payloads over web,HTTP request to malicious URL visible,YES,Core behavior triggers HTTP/HTTPS request to malicious URL upon user click. Produces observable outbound connection and flow metadata.,VERIFIED
T1185,Browser Session Hijacking,NO vs PARTIAL,NO,NO,PARTIAL,PARTIAL,Browser session hijacking is local browser operation,Local browser manipulation no network traffic,Hijacks browser sessions; observable via cookies reuse,Replay of session cookie visible if unencrypted,NO,Core behavior is local process injection into browser to steal session. NIDS cannot see memory access; resulting traffic indistinguishable from legitimate browsing.,VERIFIED
T1069,Permission Groups Discovery,NO vs PARTIAL,PARTIAL,NO,PARTIAL,NO,Permission group discovery may query AD over network,Can be local groups no network traffic,Queries permission groups; may generate LDAP traffic,Local group query is invisible,NO,"Core behavior can execute entirely locally (net localgroup, groups command). Per rule: if technique CAN work without network, classify based on local execution.",VERIFIED
T1486,Data Encrypted for Impact,NO vs PARTIAL,PARTIAL,NO,NO,PARTIAL,Ransomware may show C2 for key exchange,Local data encryption no network traffic,Encrypts data for impact locally,Network share encryption generates high write vol,NO,Core behavior is local file encryption (CPU/filesystem operation). No inherent network signature. C2 key exchange would be separate technique.,VERIFIED
T1087.002,Domain Account,PARTIAL vs YES,PARTIAL,PARTIAL,YES,YES,Domain account enumeration may generate AD traffic,Domain queries generate network traffic,Discovers domain accounts via network queries,LDAP enumeration of users visible,PARTIAL,Core behavior queries AD via LDAP/Kerberos to DC. Traffic visible but often encrypted; detection relies on flow patterns and protocol analysis.,VERIFIED
T1008,Fallback Channels,PARTIAL vs YES,YES,PARTIAL,PARTIAL,YES,Fallback channel switching creates detectable patterns,Fallback C2 switching detectable,Uses fallback C2 channels,Switch to secondary C2 channel visible,PARTIAL,"Core behavior switches to alternate C2 channel. Generates new connections but modern C2 uses TLS; detection via flow metadata, timing, destination reputation only.",VERIFIED
T1558.003,Kerberoasting,PARTIAL vs YES,PARTIAL,YES,PARTIAL,YES,Kerberoasting generates suspicious TGS requests,Kerberos TGS requests observable,Kerberoasting via ticket requests,RC4-HMAC TGS-REQ visible in Kerberos,PARTIAL,"Core behavior requests TGS tickets (port 88). Kerberos visible but distinguishing attack from legitimate requires anomaly detection (RC4 etype, request volume).",VERIFIED
