technique_id,name,tactics_str,primary_tactic,frequency_category,Claude,Grok,GPT,Gemini,Final_Classification,Classification_Source,NIDS_Detectable,description,tactics_str,platforms,entity_count,group_count,software_count,frequency_category,total_score,all_entities,groups,software
T1105,Ingress Tool Transfer,command-and-control,command-and-control,High-Priority,PARTIAL,PARTIAL,YES,YES,YES,Expert Review,Detectable,Adversaries may transfer tools or other files from an external system into a compromised environment. Tools or files may be copied from an external adversary-controlled system to the victim network through the command and control channel or through alternate protocols such as [ftp](https://attack.mi...,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",15,7,8,High-Priority,75.4,"APT38, Andariel, Bankshot, Carberp, Cobalt Group, Dyre, IcedID, Indrik Spider, Lazarus Group, QakBot, Silence, TA505, TrickBot, Ursnif, Zeus Panda","APT38, Andariel, Cobalt Group, Indrik Spider, Lazarus Group, Silence, TA505","Bankshot, Carberp, Dyre, IcedID, QakBot, TrickBot, Ursnif, Zeus Panda"
T1071.001,Web Protocols,command-and-control,command-and-control,High-Priority,YES,YES,YES,YES,YES,Unanimous (4/4),Detectable,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client...",command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",14,4,10,High-Priority,71.4,"APT38, Bankshot, Carbanak, Carberp, Cobalt Group, Dridex, Dyre, IcedID, Lazarus Group, QakBot, TA505, TrickBot, Ursnif, Zeus Panda","APT38, Cobalt Group, Lazarus Group, TA505","Bankshot, Carbanak, Carberp, Dridex, Dyre, IcedID, QakBot, TrickBot, Ursnif, Zeus Panda"
T1218.007,Msiexec,defense-evasion,defense-evasion,Common,NO,NO,PARTIAL,PARTIAL,PARTIAL,Expert Review,Detectable,Adversaries may abuse msiexec.exe to proxy execution of malicious payloads. Msiexec.exe is the command-line utility for the Windows Installer and is thus commonly associated with executing installation packages (.msi).(Citation: Microsoft msiexec) The Msiexec.exe binary may also be digitally signed ...,defense-evasion,Windows,4,2,2,Common,68,"APT38, IcedID, QakBot, TA505","APT38, TA505","IcedID, QakBot"
T1566.001,Spearphishing Attachment,initial-access,initial-access,High-Priority,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,Adversaries may send spearphishing emails with a malicious attachment in an attempt to gain access to victim systems. Spearphishing attachment is a specific variant of spearphishing. Spearphishing attachment is different from other forms of spearphishing in that it employs the use of malware attache...,initial-access,"Linux, macOS, Windows",11,8,3,High-Priority,65.8,"APT38, Andariel, Cobalt Group, IcedID, Lazarus Group, Malteiro, QakBot, RTM, Silence, TA505, TrickBot","APT38, Andariel, Cobalt Group, Lazarus Group, Malteiro, RTM, Silence, TA505","IcedID, QakBot, TrickBot"
T1218.005,Mshta,defense-evasion,defense-evasion,Medium,NO,NO,PARTIAL,PARTIAL,PARTIAL,Expert Review,Detectable,Adversaries may abuse mshta.exe to proxy execution of malicious .hta files and Javascript or VBScript through a trusted Windows utility. There are several examples of different types of threats leveraging mshta.exe during initial compromise and for execution of code (Citation: Cylance Dust Storm) (C...,defense-evasion,Windows,2,2,0,Medium,58,"APT38, Lazarus Group","APT38, Lazarus Group",
T1027.003,Steganography,defense-evasion,defense-evasion,Medium,PARTIAL,NO,NO,PARTIAL,PARTIAL,Expert Review,Detectable,"Adversaries may use steganography techniques in order to prevent the detection of hidden information. Steganographic techniques can be used to hide data in digital media such as images, audio tracks, video clips, or text files.

[Duqu](https://attack.mitre.org/software/S0038) was an early example of...",defense-evasion,"Linux, macOS, Windows",2,1,1,Medium,54,"Andariel, IcedID",Andariel,IcedID
T1078,Valid Accounts,"defense-evasion, persistence, privilege-escalation, initial-access",defense-evasion,Common,PARTIAL,NO,PARTIAL,PARTIAL,PARTIAL,Consensus (3/4),Detectable,"Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Compromised credentials may be used to bypass access controls placed on various resources on systems within the network and may even be used ...","defense-evasion, persistence, privilege-escalation, initial-access","Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows",4,4,0,Common,53.45,"Carbanak, Indrik Spider, Lazarus Group, Silence","Carbanak, Indrik Spider, Lazarus Group, Silence",
T1135,Network Share Discovery,discovery,discovery,Common,PARTIAL,YES,YES,YES,YES,Consensus (3/4),Detectable,Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement. Networks often contain shared network drives and folders that enable users...,discovery,"Linux, macOS, Windows",5,2,3,Common,52.4,"APT38, DarkVishnya, IcedID, QakBot, TrickBot","APT38, DarkVishnya","IcedID, QakBot, TrickBot"
T1571,Non-Standard Port,command-and-control,command-and-control,Common,YES,PARTIAL,YES,YES,YES,Consensus (3/4),Detectable,"Adversaries may communicate using a protocol and port pairing that are typically not associated. For example, HTTPS over port 8088(Citation: Symantec Elfin Mar 2019) or port 587(Citation: Fortinet Agent Tesla April 2018) as opposed to the traditional port 443. Adversaries may make changes to the sta...",command-and-control,"ESXi, Linux, macOS, Windows",5,3,2,Common,52.4,"Bankshot, DarkVishnya, Lazarus Group, Silence, TrickBot","DarkVishnya, Lazarus Group, Silence","Bankshot, TrickBot"
T1219,Remote Access Tools,command-and-control,command-and-control,Common,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,"An adversary may use legitimate remote access tools to establish an interactive command and control channel within a network. Remote access tools create a session between two trusted hosts through a graphical interface, a command line interaction, a protocol tunnel via development or management soft...",command-and-control,"Linux, macOS, Windows",5,3,3,Common,52.4,"Carbanak, Cobalt Group, DarkVishnya, Dridex, TrickBot","Carbanak, Cobalt Group, DarkVishnya","Carbanak, Dridex, TrickBot"
